cohort,cohort_size,0,1,2,3,4,5,6,7,8,9,10,11,12
2023-01-01,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-02-01,11,1.0,1.0,1.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.7272727272727273
2023-03-01,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-01,31,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419
2023-05-01,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207
2023-06-01,46,1.0,1.0,1.0,1.0,1.0,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9565217391304348,0.9565217391304348
2023-07-01,59,1.0,0.9830508474576272,0.9830508474576272,0.9661016949152542,0.9661016949152542,0.9322033898305084,0.9322033898305084,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.8983050847457628,0.8983050847457628,0.8983050847457628
2023-08-01,82,1.0,1.0,1.0,0.975609756097561,0.9634146341463414,0.9634146341463414,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9390243902439024,0.926829268292683,0.926829268292683
2023-09-01,62,1.0,0.9838709677419355,0.9516129032258065,0.9516129032258065,0.9193548387096774,0.9193548387096774,0.8870967741935484,0.8548387096774194,0.8548387096774194,0.8387096774193549,0.8225806451612904,0.8225806451612904,0.8225806451612904
2023-10-01,84,1.0,1.0,0.9880952380952381,0.9761904761904762,0.9523809523809523,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9285714285714286,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048
2023-11-01,121,1.0,0.9917355371900827,0.9834710743801653,0.9752066115702479,0.9669421487603306,0.9669421487603306,0.9669421487603306,0.9669421487603306,0.9338842975206612,0.9256198347107438,0.9173553719008265,0.9008264462809917,0.8842975206611571
2023-12-01,121,1.0,0.9917355371900827,0.9917355371900827,0.9834710743801653,0.9586776859504132,0.9586776859504132,0.9504132231404959,0.9504132231404959,0.9421487603305785,0.9421487603305785,0.9338842975206612,0.9173553719008265,0.9173553719008265
2024-01-01,134,1.0,0.9776119402985075,0.9701492537313433,0.9552238805970149,0.9402985074626866,0.9253731343283582,0.917910447761194,0.917910447761194,0.917910447761194,0.917910447761194,0.9029850746268657,0.9029850746268657,
2024-02-01,152,1.0,0.993421052631579,0.9802631578947368,0.9605263157894737,0.9407894736842105,0.9276315789473685,0.9144736842105263,0.9078947368421053,0.9013157894736842,0.875,0.875,,
2024-03-01,186,1.0,1.0,0.989247311827957,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.978494623655914,0.967741935483871,0.9516129032258065,0.946236559139785,,,
2024-04-01,193,1.0,0.9948186528497409,0.9844559585492227,0.9792746113989638,0.9533678756476683,0.9378238341968912,0.9222797927461139,0.9119170984455959,0.9015544041450777,,,,
2024-05-01,245,1.0,1.0,0.9959183673469387,0.9714285714285714,0.963265306122449,0.9428571428571428,0.9346938775510204,0.9183673469387755,,,,,
2024-06-01,248,1.0,0.9879032258064516,0.9717741935483871,0.9637096774193549,0.9556451612903226,0.9435483870967742,0.9314516129032258,,,,,,
2024-07-01,330,1.0,0.9939393939393939,0.9787878787878788,0.9666666666666667,0.9515151515151515,0.9424242424242424,,,,,,,
2024-08-01,337,1.0,0.973293768545994,0.9495548961424333,0.9317507418397626,0.9258160237388724,,,,,,,,
2024-09-01,440,1.0,0.9659090909090909,0.9272727272727272,0.9136363636363637,,,,,,,,,
2024-10-01,504,1.0,0.9642857142857143,0.9305555555555556,,,,,,,,,,
2024-11-01,612,1.0,0.923202614379085,,,,,,,,,,,
2024-12-01,953,1.0,,,,,,,,,,,,
