group,day,km_survival,n
Basic,0,0.99812734082397,1602
Basic,5,0.9853246318504149,1602
Basic,10,0.9767373396126375,1602
Basic,15,0.9726813676808175,1602
Basic,20,0.969200425834193,1602
Basic,25,0.9648919490603322,1602
Basic,30,0.9589957663878375,1602
Basic,35,0.9552256323422188,1602
Basic,40,0.9506022247422935,1602
Basic,45,0.949019127793666,1602
Basic,50,0.9465821539502166,1602
Basic,55,0.9440837396703808,1602
Basic,60,0.9406215047344677,1602
Basic,65,0.9388567364329021,1602
Basic,70,0.9361527802052975,1602
Basic,75,0.9342924175992597,1602
Basic,80,0.9323895817182022,1602
Basic,85,0.9294758263752892,1602
Basic,90,0.9284774635112987,1602
Basic,95,0.9274627340429803,1602
Basic,100,0.9264027766326455,1602
Basic,105,0.923171034413111,1602
Basic,110,0.9220614538429028,1602
Basic,115,0.9209356156819225,1602
Basic,120,0.9174368278183787,1602
Basic,125,0.9162545638650045,1602
Basic,130,0.9138159407228567,1602
Basic,135,0.9125606990460396,1602
Basic,140,0.9125606990460396,1602
Basic,145,0.9087011162723364,1602
Basic,150,0.9087011162723364,1602
Basic,155,0.9073628230230399,1602
Basic,160,0.9032153516465108,1602
Basic,165,0.9003591577423459,1602
Basic,170,0.8988758642370044,1602
Basic,175,0.8958617273083872,1602
Basic,180,0.8943144704391154,1602
Basic,185,0.8927231635522129,1602
Basic,190,0.8894373632826804,1602
Basic,195,0.88606820971251,1602
Basic,200,0.88606820971251,1602
Basic,205,0.88606820971251,1602
Basic,210,0.8843031335975448,1602
Basic,215,0.8805875742126812,1602
Basic,220,0.8787059768318849,1602
Basic,225,0.8768122139507816,1602
Basic,230,0.8768122139507816,1602
Basic,235,0.8768122139507816,1602
Basic,240,0.8768122139507816,1602
Basic,245,0.8768122139507816,1602
Basic,250,0.8768122139507816,1602
Basic,255,0.874581139615029,1602
Basic,260,0.874581139615029,1602
Basic,265,0.874581139615029,1602
Basic,270,0.874581139615029,1602
Basic,275,0.874581139615029,1602
Basic,280,0.874581139615029,1602
Basic,285,0.8694208284482335,1602
Basic,290,0.8694208284482335,1602
Basic,295,0.8667456874376236,1602
Basic,300,0.8667456874376236,1602
Basic,305,0.8639224115827779,1602
Basic,310,0.8639224115827779,1602
Basic,315,0.8639224115827779,1602
Basic,320,0.8609017038499709,1602
Basic,325,0.8609017038499709,1602
Basic,330,0.8609017038499709,1602
Basic,335,0.857689384059486,1602
Basic,340,0.857689384059486,1602
Basic,345,0.8542309591237622,1602
Basic,350,0.8542309591237622,1602
Basic,355,0.8542309591237622,1602
Basic,360,0.8542309591237622,1602
Basic,365,0.8542309591237622,1602
Enterprise,0,0.9970980847359258,1723
Enterprise,5,0.9882385835323564,1723
Enterprise,10,0.9791268898485904,1723
Enterprise,15,0.9716235825853332,1723
Enterprise,20,0.9638722411056657,1723
Enterprise,25,0.9605312919602053,1723
Enterprise,30,0.9556945005385005,1723
Enterprise,35,0.9535751203246082,1723
Enterprise,40,0.9492228946292027,1723
Enterprise,45,0.946991096661922,1723
Enterprise,50,0.9439100856301863,1723
Enterprise,55,0.940754165696728,1723
Enterprise,60,0.9367068170460251,1723
Enterprise,65,0.9358793375256664,1723
Enterprise,70,0.9316733726622497,1723
Enterprise,75,0.928205710016331,1723
Enterprise,80,0.9237006157895429,1723
Enterprise,85,0.9218568652209278,1723
Enterprise,90,0.9218568652209278,1723
Enterprise,95,0.9170211168335759,1723
Enterprise,100,0.9130490616855069,1723
Enterprise,105,0.9089438344647981,1723
Enterprise,110,0.9079026616876333,1723
Enterprise,115,0.906832021756398,1723
Enterprise,120,0.9057234251527838,1723
Enterprise,125,0.9045996988188474,1723
Enterprise,130,0.9011114483324483,1723
Enterprise,135,0.8999288873766313,1723
Enterprise,140,0.8987225483855098,1723
Enterprise,145,0.8962618658650416,1723
Enterprise,150,0.8937228804093333,1723
Enterprise,155,0.8911189742782529,1723
Enterprise,160,0.8897646901228148,1723
Enterprise,165,0.8897646901228148,1723
Enterprise,170,0.8883342002673119,1723
Enterprise,175,0.8854263491996385,1723
Enterprise,180,0.8839481749939629,1723
Enterprise,185,0.8839481749939629,1723
Enterprise,190,0.8839481749939629,1723
Enterprise,195,0.8823321819866614,1723
Enterprise,200,0.8806705394593796,1723
Enterprise,205,0.8806705394593796,1723
Enterprise,210,0.8789471137461519,1723
Enterprise,215,0.8754487647180274,1723
Enterprise,220,0.8682830207452658,1723
Enterprise,225,0.8682830207452658,1723
Enterprise,230,0.8682830207452658,1723
Enterprise,235,0.8682830207452658,1723
Enterprise,240,0.8642724327336546,1723
Enterprise,245,0.8642724327336546,1723
Enterprise,250,0.8642724327336546,1723
Enterprise,255,0.8577792027524221,1723
Enterprise,260,0.8511175852035178,1723
Enterprise,265,0.8488418697350592,1723
Enterprise,270,0.8488418697350592,1723
Enterprise,275,0.8488418697350592,1723
Enterprise,280,0.8488418697350592,1723
Enterprise,285,0.8488418697350592,1723
Enterprise,290,0.8488418697350592,1723
Enterprise,295,0.8488418697350592,1723
Enterprise,300,0.8488418697350592,1723
Enterprise,305,0.8457994257575141,1723
Enterprise,310,0.8427012593627979,1723
Enterprise,315,0.8395212546104854,1723
Enterprise,320,0.8395212546104854,1723
Enterprise,325,0.8395212546104854,1723
Enterprise,330,0.8359789708357578,1723
Enterprise,335,0.8359789708357578,1723
Enterprise,340,0.8359789708357578,1723
Enterprise,345,0.8359789708357578,1723
Enterprise,350,0.8359789708357578,1723
Enterprise,355,0.8319790714537685,1723
Enterprise,360,0.8319790714537685,1723
Enterprise,365,0.8319790714537685,1723
Pro,0,0.9970149253731343,1675
Pro,5,0.9860722178676682,1675
Pro,10,0.9734503352048985,1675
Pro,15,0.9663118165130475,1675
Pro,20,0.9595258834497975,1675
Pro,25,0.9545996587425359,1675
Pro,30,0.9509654032662778,1675
Pro,35,0.9449712845462345,1675
Pro,40,0.9411649496177046,1675
Pro,45,0.9380270281822656,1675
Pro,50,0.933989092552053,1675
Pro,55,0.9298918843703263,1675
Pro,60,0.9265156571441934,1675
Pro,65,0.9256609379032853,1675
Pro,70,0.9256609379032853,1675
Pro,75,0.922954316689017,1675
Pro,80,0.920187932554719,1675
Pro,85,0.9163940328268105,1675
Pro,90,0.9144647779515234,1675
Pro,95,0.9134846442130974,1675
Pro,100,0.9124786038560345,1675
Pro,105,0.909409667810017,1675
Pro,110,0.9073069864971615,1675
Pro,115,0.9073069864971615,1675
Pro,120,0.906201862274875,1675
Pro,125,0.906201862274875,1675
Pro,130,0.9050265031798362,1675
Pro,135,0.9050265031798362,1675
Pro,140,0.9026097475923066,1675
Pro,145,0.8988935333975202,1675
Pro,150,0.8988935333975202,1675
Pro,155,0.8962823643120544,1675
Pro,160,0.8962823643120544,1675
Pro,165,0.8948927792511056,1675
Pro,170,0.8948927792511056,1675
Pro,175,0.8948927792511056,1675
Pro,180,0.8948927792511056,1675
Pro,185,0.8948927792511056,1675
Pro,190,0.8933364439828428,1675
Pro,195,0.8901429445255313,1675
Pro,200,0.8868880905685464,1675
Pro,205,0.8852115535353356,1675
Pro,210,0.8852115535353356,1675
Pro,215,0.8852115535353356,1675
Pro,220,0.8833863750744381,1675
Pro,225,0.8833863750744381,1675
Pro,230,0.8833863750744381,1675
Pro,235,0.8813967661215677,1675
Pro,240,0.8813967661215677,1675
Pro,245,0.8792364799300932,1675
Pro,250,0.8792364799300932,1675
Pro,255,0.8792364799300932,1675
Pro,260,0.8769165947587737,1675
Pro,265,0.8769165947587737,1675
Pro,270,0.8769165947587737,1675
Pro,275,0.8769165947587737,1675
Pro,280,0.8744182568819682,1675
Pro,285,0.8691958890649562,1675
Pro,290,0.8691958890649562,1675
Pro,295,0.8664625686590915,1675
Pro,300,0.8636402150152508,1675
Pro,305,0.8636402150152508,1675
Pro,310,0.8636402150152508,1675
Pro,315,0.8636402150152508,1675
Pro,320,0.8602927723213932,1675
Pro,325,0.8602927723213932,1675
Pro,330,0.8602927723213932,1675
Pro,335,0.8602927723213932,1675
Pro,340,0.8602927723213932,1675
Pro,345,0.8602927723213932,1675
Pro,350,0.8563099354124979,1675
Pro,355,0.8563099354124979,1675
Pro,360,0.8563099354124979,1675
Pro,365,0.8563099354124979,1675
