feature_name,Basic,Pro,Enterprise
feature_1,0.35073068893528186,0.339662447257384,0.3368200836820084
feature_10,0.2964509394572025,0.3438818565400844,0.38284518828451886
feature_11,0.3674321503131524,0.3459915611814346,0.3389121338912134
feature_12,0.3173277661795407,0.40717299578059074,0.3682008368200837
feature_13,0.37995824634655534,0.3143459915611814,0.3158995815899582
feature_14,0.3173277661795407,0.3291139240506329,0.3577405857740586
feature_15,0.3235908141962422,0.37341772151898733,0.3577405857740586
feature_16,0.348643006263048,0.33544303797468356,0.3138075313807531
feature_17,0.35073068893528186,0.3438818565400844,0.3598326359832636
feature_18,0.2860125260960334,0.3270042194092827,0.3305439330543933
feature_19,0.30062630480167013,0.3206751054852321,0.3577405857740586
feature_2,0.31315240083507306,0.3628691983122363,0.39748953974895396
feature_20,0.31941544885177453,0.33122362869198313,0.3577405857740586
feature_21,0.33194154488517746,0.32489451476793246,0.3138075313807531
feature_22,0.3465553235908142,0.3291139240506329,0.3410041841004184
feature_23,0.29436325678496866,0.31645569620253167,0.2907949790794979
feature_24,0.31524008350730687,0.35864978902953587,0.3493723849372385
feature_25,0.3444676409185804,0.3270042194092827,0.32217573221757323
feature_26,0.3465553235908142,0.32489451476793246,0.3723849372384937
feature_27,0.3048016701461378,0.36075949367088606,0.34518828451882844
feature_28,0.33611691022964507,0.35864978902953587,0.3368200836820084
feature_29,0.33820459290187893,0.3691983122362869,0.3389121338912134
feature_3,0.3068893528183716,0.3270042194092827,0.3410041841004184
feature_30,0.3089770354906054,0.35654008438818563,0.3305439330543933
feature_31,0.31524008350730687,0.3459915611814346,0.3472803347280335
feature_32,0.3444676409185804,0.33755274261603374,0.37656903765690375
feature_33,0.33194154488517746,0.350210970464135,0.35564853556485354
feature_34,0.3569937369519833,0.350210970464135,0.3619246861924686
feature_35,0.31106471816283926,0.3270042194092827,0.3179916317991632
feature_36,0.3235908141962422,0.3755274261603376,0.3493723849372385
feature_37,0.34029227557411273,0.33755274261603374,0.35355648535564854
feature_38,0.34237995824634654,0.3438818565400844,0.36610878661087864
feature_39,0.36325678496868474,0.310126582278481,0.3682008368200837
feature_4,0.3173277661795407,0.3924050632911392,0.3179916317991632
feature_40,0.29018789144050106,0.36075949367088606,0.35564853556485354
feature_5,0.29436325678496866,0.3333333333333333,0.34518828451882844
feature_6,0.33820459290187893,0.35654008438818563,0.3514644351464435
feature_7,0.348643006263048,0.32489451476793246,0.34518828451882844
feature_8,0.34029227557411273,0.3333333333333333,0.30962343096234307
feature_9,0.3235908141962422,0.3438818565400844,0.35355648535564854
