feature_name,Power Accounts,Engaged Accounts,Casual Accounts,Low-Engagement Accounts
feature_1,0.865979381443299,0.7450980392156863,0.6456692913385826,0.4878048780487805
feature_10,0.8556701030927835,0.7254901960784313,0.6692913385826772,0.4715447154471545
feature_11,0.845360824742268,0.7516339869281046,0.7244094488188977,0.4715447154471545
feature_12,0.8762886597938144,0.7581699346405228,0.7795275590551181,0.6016260162601627
feature_13,0.845360824742268,0.7647058823529411,0.6614173228346457,0.5447154471544715
feature_14,0.8969072164948454,0.7777777777777778,0.6456692913385826,0.5203252032520326
feature_15,0.865979381443299,0.7581699346405228,0.7322834645669292,0.4715447154471545
feature_16,0.8556701030927835,0.7254901960784313,0.6614173228346457,0.4796747967479675
feature_17,0.865979381443299,0.803921568627451,0.7244094488188977,0.5447154471544715
feature_18,0.865979381443299,0.6862745098039216,0.6062992125984252,0.4959349593495935
feature_19,0.7835051546391752,0.6993464052287581,0.7086614173228346,0.5040650406504065
feature_2,0.8762886597938144,0.7973856209150327,0.6850393700787402,0.5365853658536586
feature_20,0.845360824742268,0.6993464052287581,0.6850393700787402,0.4715447154471545
feature_21,0.8865979381443299,0.7581699346405228,0.6377952755905512,0.5528455284552846
feature_22,0.8762886597938144,0.7254901960784313,0.6141732283464567,0.4878048780487805
feature_23,0.8969072164948454,0.7189542483660131,0.6692913385826772,0.3821138211382114
feature_24,0.8247422680412371,0.7777777777777778,0.6771653543307087,0.5121951219512195
feature_25,0.845360824742268,0.803921568627451,0.6062992125984252,0.4878048780487805
feature_26,0.9072164948453608,0.7058823529411765,0.7244094488188977,0.5203252032520326
feature_27,0.8041237113402062,0.7777777777777778,0.6771653543307087,0.44715447154471544
feature_28,0.8556701030927835,0.7189542483660131,0.6771653543307087,0.5528455284552846
feature_29,0.865979381443299,0.738562091503268,0.6692913385826772,0.45528455284552843
feature_3,0.8350515463917526,0.7450980392156863,0.6535433070866141,0.4715447154471545
feature_30,0.845360824742268,0.7777777777777778,0.6220472440944882,0.4959349593495935
feature_31,0.8762886597938144,0.7450980392156863,0.6141732283464567,0.5040650406504065
feature_32,0.8969072164948454,0.7973856209150327,0.6771653543307087,0.4796747967479675
feature_33,0.8247422680412371,0.7777777777777778,0.6141732283464567,0.5284552845528455
feature_34,0.8969072164948454,0.7843137254901961,0.6614173228346457,0.4878048780487805
feature_35,0.8762886597938144,0.7254901960784313,0.6535433070866141,0.4796747967479675
feature_36,0.8350515463917526,0.7777777777777778,0.6850393700787402,0.5853658536585366
feature_37,0.8969072164948454,0.7973856209150327,0.6692913385826772,0.4634146341463415
feature_38,0.8556701030927835,0.7124183006535948,0.7480314960629921,0.5365853658536586
feature_39,0.8041237113402062,0.7843137254901961,0.7086614173228346,0.5528455284552846
feature_4,0.8762886597938144,0.7320261437908496,0.7086614173228346,0.4796747967479675
feature_40,0.845360824742268,0.7516339869281046,0.6456692913385826,0.4715447154471545
feature_5,0.7938144329896907,0.7124183006535948,0.6929133858267716,0.5365853658536586
feature_6,0.8350515463917526,0.8431372549019608,0.6377952755905512,0.4146341463414634
feature_7,0.8865979381443299,0.7581699346405228,0.6771653543307087,0.5121951219512195
feature_8,0.7525773195876289,0.7516339869281046,0.6614173228346457,0.5203252032520326
feature_9,0.8865979381443299,0.7254901960784313,0.7165354330708661,0.4796747967479675
