funnel,dimension,segment,stage,accounts,conversion_from_signup,step_conversion,step_drop_off
trial,plan_tier,Basic,1. Signed up,168,1.0,,
trial,plan_tier,Basic,2. Started a trial,140,0.8333333333333334,0.8333333333333334,0.16666666666666663
trial,plan_tier,Basic,3. Converted to paid after trial,131,0.7797619047619048,0.9357142857142857,0.06428571428571428
trial,plan_tier,Basic,4. Retained (not churned),96,0.5714285714285714,0.732824427480916,0.26717557251908397
trial,plan_tier,Enterprise,1. Signed up,154,1.0,,
trial,plan_tier,Enterprise,2. Started a trial,121,0.7857142857142857,0.7857142857142857,0.2142857142857143
trial,plan_tier,Enterprise,3. Converted to paid after trial,117,0.7597402597402597,0.9669421487603306,0.03305785123966942
trial,plan_tier,Enterprise,4. Retained (not churned),91,0.5909090909090909,0.7777777777777778,0.2222222222222222
trial,plan_tier,Pro,1. Signed up,178,1.0,,
trial,plan_tier,Pro,2. Started a trial,142,0.797752808988764,0.797752808988764,0.202247191011236
trial,plan_tier,Pro,3. Converted to paid after trial,132,0.7415730337078652,0.9295774647887324,0.07042253521126762
trial,plan_tier,Pro,4. Retained (not churned),104,0.5842696629213483,0.7878787878787878,0.21212121212121215
trial,referral_source,ads,1. Signed up,98,1.0,,
trial,referral_source,ads,2. Started a trial,85,0.8673469387755102,0.8673469387755102,0.13265306122448983
trial,referral_source,ads,3. Converted to paid after trial,81,0.826530612244898,0.9529411764705882,0.04705882352941182
trial,referral_source,ads,4. Retained (not churned),62,0.6326530612244898,0.7654320987654321,0.23456790123456794
trial,referral_source,event,1. Signed up,96,1.0,,
trial,referral_source,event,2. Started a trial,76,0.7916666666666666,0.7916666666666666,0.20833333333333337
trial,referral_source,event,3. Converted to paid after trial,70,0.7291666666666666,0.9210526315789473,0.07894736842105265
trial,referral_source,event,4. Retained (not churned),44,0.4583333333333333,0.6285714285714286,0.37142857142857144
trial,referral_source,organic,1. Signed up,114,1.0,,
trial,referral_source,organic,2. Started a trial,83,0.7280701754385965,0.7280701754385965,0.27192982456140347
trial,referral_source,organic,3. Converted to paid after trial,80,0.7017543859649122,0.963855421686747,0.03614457831325302
trial,referral_source,organic,4. Retained (not churned),67,0.5877192982456141,0.8375,0.16249999999999998
trial,referral_source,other,1. Signed up,103,1.0,,
trial,referral_source,other,2. Started a trial,85,0.8252427184466019,0.8252427184466019,0.1747572815533981
trial,referral_source,other,3. Converted to paid after trial,81,0.7864077669902912,0.9529411764705882,0.04705882352941182
