cohort,cohort_size,m1,m2,m3,m6,m9,m12
2023-01-01,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
2023-02-01,11,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.90909090909090909091,0.81818181818181818182,0.72727272727272727273
2023-03-01,17,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
2023-04-01,31,0.96774193548387096774,0.96774193548387096774,0.96774193548387096774,0.96774193548387096774,0.93548387096774193548,0.93548387096774193548
2023-05-01,29,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.93103448275862068966,0.93103448275862068966
2023-06-01,46,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.97826086956521739130,0.97826086956521739130,0.95652173913043478261
2023-07-01,59,0.98305084745762711864,0.98305084745762711864,0.96610169491525423729,0.93220338983050847458,0.91525423728813559322,0.89830508474576271186
2023-08-01,82,1.00000000000000000000,1.00000000000000000000,0.97560975609756097561,0.95121951219512195122,0.95121951219512195122,0.92682926829268292683
2023-09-01,62,0.98387096774193548387,0.95161290322580645161,0.95161290322580645161,0.88709677419354838710,0.83870967741935483871,0.82258064516129032258
2023-10-01,84,1.00000000000000000000,0.98809523809523809524,0.97619047619047619048,0.94047619047619047619,0.91666666666666666667,0.90476190476190476190
2023-11-01,121,0.99173553719008264463,0.98347107438016528926,0.97520661157024793388,0.96694214876033057851,0.92561983471074380165,0.88429752066115702479
2023-12-01,121,0.99173553719008264463,0.99173553719008264463,0.98347107438016528926,0.95041322314049586777,0.94214876033057851240,0.91735537190082644628
2024-01-01,134,0.97761194029850746269,0.97014925373134328358,0.95522388059701492537,0.91791044776119402985,0.91791044776119402985,
2024-02-01,152,0.99342105263157894737,0.98026315789473684211,0.96052631578947368421,0.91447368421052631579,0.87500000000000000000,
2024-03-01,186,1.00000000000000000000,0.98924731182795698925,0.98387096774193548387,0.97849462365591397849,0.94623655913978494624,
2024-04-01,193,0.99481865284974093264,0.98445595854922279793,0.97927461139896373057,0.92227979274611398964,,
2024-05-01,245,1.00000000000000000000,0.99591836734693877551,0.97142857142857142857,0.93469387755102040816,,
2024-06-01,248,0.98790322580645161290,0.97177419354838709677,0.96370967741935483871,0.93145161290322580645,,
2024-07-01,330,0.99393939393939393939,0.97878787878787878788,0.96666666666666666667,,,
2024-08-01,337,0.97329376854599406528,0.94955489614243323442,0.93175074183976261128,,,
2024-09-01,440,0.96590909090909090909,0.92727272727272727273,0.91363636363636363636,,,
2024-10-01,504,0.96428571428571428571,0.93055555555555555556,,,,
2024-11-01,612,0.92320261437908496732,,,,,
2024-12-01,953,,,,,,
