feature_name,basic,pro,enterprise,max_plan_gap
feature_12,0.31732776617954070981,0.40717299578059071730,0.36820083682008368201,0.08984522960105000749
feature_10,0.29645093945720250522,0.34388185654008438819,0.38284518828451882845,0.08639424882731632323
feature_2,0.31315240083507306889,0.36286919831223628692,0.39748953974895397490,0.08433713891388090601
feature_4,0.31732776617954070981,0.39240506329113924051,0.31799163179916317992,0.07507729711159853070
feature_40,0.29018789144050104384,0.36075949367088607595,0.35564853556485355649,0.07057160223038503211
feature_13,0.37995824634655532359,0.31434599156118143460,0.31589958158995815900,0.06561225478537388899
feature_39,0.36325678496868475992,0.31012658227848101266,0.36820083682008368201,0.05807425454160266935
feature_19,0.30062630480167014614,0.32067510548523206751,0.35774058577405857741,0.05711428097238843127
feature_27,0.30480167014613778706,0.36075949367088607595,0.34518828451882845188,0.05595782352474828889
feature_36,0.32359081419624217119,0.37552742616033755274,0.34937238493723849372,0.05193661196409538155
feature_5,0.29436325678496868476,0.33333333333333333333,0.34518828451882845188,0.05082502773385976712
feature_15,0.32359081419624217119,0.37341772151898734177,0.35774058577405857741,0.04982690732274517058
feature_30,0.30897703549060542797,0.35654008438818565401,0.33054393305439330544,0.04756304889758022604
feature_26,0.34655532359081419624,0.32489451476793248945,0.37238493723849372385,0.04749042247056123440
feature_18,0.28601252609603340292,0.32700421940928270042,0.33054393305439330544,0.04453140695835990252
feature_24,0.31524008350730688935,0.35864978902953586498,0.34937238493723849372,0.04340970552222897563
feature_14,0.31732776617954070981,0.32911392405063291139,0.35774058577405857741,0.04041281959451786760
feature_32,0.34446764091858037578,0.33755274261603375527,0.37656903765690376569,0.03901629504087001042
feature_20,0.31941544885177453027,0.33122362869198312236,0.35774058577405857741,0.03832513692228404714
feature_16,0.34864300626304801670,0.33544303797468354430,0.31380753138075313808,0.03483547488229487862
feature_3,0.30688935281837160752,0.32700421940928270042,0.34100418410041841004,0.03411483128204680252
feature_31,0.31524008350730688935,0.34599156118143459916,0.34728033472803347280,0.03204025122072658345
feature_29,0.33820459290187891441,0.36919831223628691983,0.33891213389121338912,0.03099371933440800542
feature_8,0.34029227557411273486,0.33333333333333333333,0.30962343096234309623,0.03066884461176963863
feature_9,0.32359081419624217119,0.34388185654008438819,0.35355648535564853556,0.02996567115940636437
feature_11,0.36743215031315240084,0.34599156118143459916,0.33891213389121338912,0.02852001642193901172
feature_23,0.29436325678496868476,0.31645569620253164557,0.29079497907949790795,0.02566071712303373762
feature_7,0.34864300626304801670,0.32489451476793248945,0.34518828451882845188,0.02374849149511552725
feature_38,0.34237995824634655532,0.34388185654008438819,0.36610878661087866109,0.02372882836453210577
feature_33,0.33194154488517745303,0.35021097046413502110,0.35564853556485355649,0.02370699067967610346
feature_28,0.33611691022964509395,0.35864978902953586498,0.33682008368200836820,0.02253287879989077103
feature_25,0.34446764091858037578,0.32700421940928270042,0.32217573221757322176,0.02229190870100715402
feature_6,0.33820459290187891441,0.35654008438818565401,0.35146443514644351464,0.01833549148630673960
feature_21,0.33194154488517745303,0.32489451476793248945,0.31380753138075313808,0.01813401350442431495
feature_22,0.34655532359081419624,0.32911392405063291139,0.34100418410041841004,0.01744139954018128485
feature_37,0.34029227557411273486,0.33755274261603375527,0.35355648535564853556,0.01600374273961478029
feature_17,0.35073068893528183716,0.34388185654008438819,0.35983263598326359833,0.01595077944317921014
feature_35,0.31106471816283924843,0.32700421940928270042,0.31799163179916317992,0.01593950124644345199
feature_1,0.35073068893528183716,0.33966244725738396624,0.33682008368200836820,0.01391060525327346896
feature_34,0.35699373695198329854,0.35021097046413502110,0.36192468619246861925,0.01171371572833359815
