feature_name,adopting_accounts,adoption_rate,usage_events,events_per_adopting_account,usage_count_per_adopting_account,avg_minutes_per_event,errors_per_100_uses,beta_event_share,adoption_rank,adoption_quadrant
feature_12,374,0.74800000000000000000,659,1.7620320855614973,17.4705882352941176,52.1365958523014674,5.4943373125191307,0.09863429438543247344,1,Broad but light
feature_17,366,0.73200000000000000000,651,1.7786885245901639,17.6448087431693989,49.9443676395289293,5.7138432951378136,0.09216589861751152074,2,Broad but light
feature_2,360,0.72000000000000000000,642,1.7833333333333333,18.1250000000000000,50.2516614745586713,6.1455938697318008,0.10747663551401869159,3,Broad but light
feature_36,359,0.71800000000000000000,648,1.8050139275766017,17.7966573816155989,48.2209876543209877,5.8068555329472531,0.09722222222222222222,4,Broad but light
feature_39,356,0.71200000000000000000,631,1.7724719101123596,18.0617977528089888,51.3804278922345483,5.5520995334370140,0.08874801901743264659,5,Broad but light
feature_32,354,0.70800000000000000000,659,1.8615819209039548,18.8870056497175141,51.9048052604957011,5.3395154053245588,0.10166919575113808801,6,Core (broad & intensive)
feature_38,353,0.70600000000000000000,643,1.8215297450424929,18.3512747875354108,50.3436236391912908,5.4955233096634764,0.11353032659409020218,7,Core (broad & intensive)
feature_14,352,0.70400000000000000000,600,1.7045454545454545,16.7045454545454545,49.8165000000000000,5.2210884353741497,0.10333333333333333333,8,Broad but light
feature_26,352,0.70400000000000000000,649,1.8437500000000000,18.3806818181818182,50.7544170518746795,6.4451313755795981,0.09707241910631741140,8,Core (broad & intensive)
feature_15,351,0.70200000000000000000,640,1.8233618233618234,18.8632478632478632,51.2236458333333328,5.2711070835221266,0.11562500000000000000,10,Core (broad & intensive)
feature_21,351,0.70200000000000000000,591,1.6837606837606838,16.9515669515669516,51.2875916525662724,5.8655462184873950,0.09983079526226734349,10,Broad but light
feature_34,351,0.70200000000000000000,650,1.8518518518518519,18.6210826210826211,51.4543846153846154,6.0740514075887393,0.10307692307692307692,10,Core (broad & intensive)
feature_37,351,0.70200000000000000000,636,1.8119658119658120,18.1766381766381766,50.8295597484276730,4.7962382445141066,0.10377358490566037736,10,Broad but light
feature_7,351,0.70200000000000000000,619,1.7635327635327635,17.4159544159544160,50.7954765751211632,5.0875184034025847,0.09531502423263327948,10,Broad but light
feature_13,350,0.70000000000000000000,612,1.7485714285714286,17.4257142857142857,49.3735021786492369,6.0993605509099852,0.12091503267973856209,15,Broad but light
feature_24,348,0.69600000000000000000,643,1.8477011494252874,18.3563218390804598,53.6612234318299642,5.4633688165309956,0.10730948678071539658,16,Core (broad & intensive)
feature_11,347,0.69400000000000000000,643,1.8530259365994236,18.8270893371757925,52.1715655780196998,5.3880300015306903,0.09331259720062208398,17,Core (broad & intensive)
