engagement_segment,feature_name,adoption_rate
Casual Accounts,feature_12,0.77952755905511811024
Casual Accounts,feature_38,0.74803149606299212598
Casual Accounts,feature_15,0.73228346456692913386
Casual Accounts,feature_17,0.72440944881889763780
Casual Accounts,feature_11,0.72440944881889763780
Casual Accounts,feature_26,0.72440944881889763780
Casual Accounts,feature_9,0.71653543307086614173
Casual Accounts,feature_39,0.70866141732283464567
Casual Accounts,feature_4,0.70866141732283464567
Casual Accounts,feature_19,0.70866141732283464567
Casual Accounts,feature_5,0.69291338582677165354
Casual Accounts,feature_36,0.68503937007874015748
Casual Accounts,feature_2,0.68503937007874015748
Casual Accounts,feature_20,0.68503937007874015748
Casual Accounts,feature_28,0.67716535433070866142
Casual Accounts,feature_24,0.67716535433070866142
Casual Accounts,feature_27,0.67716535433070866142
Casual Accounts,feature_32,0.67716535433070866142
Casual Accounts,feature_7,0.67716535433070866142
Casual Accounts,feature_23,0.66929133858267716535
Casual Accounts,feature_37,0.66929133858267716535
Casual Accounts,feature_29,0.66929133858267716535
Casual Accounts,feature_10,0.66929133858267716535
Casual Accounts,feature_16,0.66141732283464566929
Casual Accounts,feature_13,0.66141732283464566929
Casual Accounts,feature_8,0.66141732283464566929
Casual Accounts,feature_34,0.66141732283464566929
Casual Accounts,feature_35,0.65354330708661417323
Casual Accounts,feature_3,0.65354330708661417323
Casual Accounts,feature_14,0.64566929133858267717
Casual Accounts,feature_1,0.64566929133858267717
Casual Accounts,feature_40,0.64566929133858267717
Casual Accounts,feature_21,0.63779527559055118110
Casual Accounts,feature_6,0.63779527559055118110
Casual Accounts,feature_30,0.62204724409448818898
Casual Accounts,feature_33,0.61417322834645669291
Casual Accounts,feature_31,0.61417322834645669291
Casual Accounts,feature_22,0.61417322834645669291
Casual Accounts,feature_25,0.60629921259842519685
Casual Accounts,feature_18,0.60629921259842519685
Engaged Accounts,feature_6,0.84313725490196078431
Engaged Accounts,feature_17,0.80392156862745098039
Engaged Accounts,feature_25,0.80392156862745098039
Engaged Accounts,feature_37,0.79738562091503267974
Engaged Accounts,feature_32,0.79738562091503267974
Engaged Accounts,feature_2,0.79738562091503267974
Engaged Accounts,feature_39,0.78431372549019607843
Engaged Accounts,feature_34,0.78431372549019607843
Engaged Accounts,feature_33,0.77777777777777777778
