list,feature_name,adopting_accounts,adoption_rate,errors_per_100_uses
Most adopted,feature_12,374,0.74800000000000000000,5.4943373125191307
Most adopted,feature_17,366,0.73200000000000000000,5.7138432951378136
Most adopted,feature_2,360,0.72000000000000000000,6.1455938697318008
Most adopted,feature_36,359,0.71800000000000000000,5.8068555329472531
Most adopted,feature_39,356,0.71200000000000000000,5.5520995334370140
Least adopted,feature_19,335,0.67000000000000000000,5.9661016949152542
Least adopted,feature_22,334,0.66800000000000000000,5.3879987433239083
Least adopted,feature_20,334,0.66800000000000000000,4.7087601284207308
Least adopted,feature_23,329,0.65800000000000000000,5.4633101231922871
Least adopted,feature_18,327,0.65400000000000000000,6.3076923076923077
